# Retired installed filename	Expected CFBundle identifier	Current replacement
s3g_128ch_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-128ch	retired
s3g_24ch_lane_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh-24ch-lanes	retired
s3g_24ch_tape_delay.clap	org.s3g.s3g-dsp.tape-delay-24ch	s3g_processor_delay_24ch.clap
s3g_8ch_tape_delay.clap	org.s3g.s3g-dsp.tape-delay-8ch	s3g_processor_delay_8ch.clap
s3g_3oafx_boundary.clap	org.s3g.s3g-dsp.3oafx-boundary	retired
s3g_3oafx_delay.clap	org.s3g.s3g-dsp.3oafx-delay	s3g_ambi_effect_delay_64.clap
s3g_3oafx_displacement.clap	org.s3g.s3g-dsp.3oafx-displacement	s3g_ambi_effect_displacement_64.clap
s3g_3oafx_filter.clap	org.s3g.s3g-dsp.3oafx-filter	s3g_ambi_effect_dj_filter_64.clap
s3g_3oafx_gain.clap	org.s3g.s3g-dsp.3oafx-gain	s3g_ambi_effect_gain_64.clap
s3g_3oafx_pitch.clap	org.s3g.s3g-dsp.3oafx-pitch	s3g_ambi_effect_pitch_64.clap
s3g_3oafx_point_encoder.clap	org.s3g.s3g-dsp.3oafx-point-encoder-16pt	s3g_ambi_encoder_point.clap
s3g_3oafx_rack.clap	org.s3g.s3g-dsp.3oafx-rack	retired
s3g_3oafx_spatial_grains.clap	org.s3g.s3g-dsp.3oafx-spatial-grains	retired
s3g_3oafx_speaker_decoder.clap	org.s3g.s3g-dsp.3oafx-speaker-decoder-64	s3g_ambi_decoder_speaker_64.clap
s3g_3oafx_spectral_smear.clap	org.s3g.s3g-dsp.3oafx-spectral-smear	retired
s3g_3oafx_spectral_spray.clap	org.s3g.s3g-dsp.3oafx-spectral-spray	retired
s3g_8ch_filter_processor.clap	org.s3g.s3g-dsp.filter-processor-8ch	retired
s3g_8ch_spectral_field.clap	org.s3g.s3g-dsp.spectral-field-8ch	retired
s3g_acapella_source_synth.clap	org.s3g.s3g-dsp.acapella-source-synth	s3g_processor_formant_matrix.clap
s3g_processor_articulator.clap	org.s3g.s3g-dsp.processor-articulator	s3g_processor_formant_matrix.clap
s3g_processor_fissure_stereo.clap	org.s3g.s3g-dsp.processor-fissure-stereo	retired
s3g_processor_fissure_quad.clap	org.s3g.s3g-dsp.processor-fissure-quad	retired
s3g_processor_fissure_8ch.clap	org.s3g.s3g-dsp.processor-fissure-8ch	retired
s3g_accelerometer_field_encoder.clap	org.s3g.s3g-dsp.accelerometer-field-encoder-16	s3g_ambi_encoder_modal_16.clap
s3g_ambi_environment_generator.clap	org.s3g.s3g-dsp.ambi-environment-generator-64	s3g_ambi_encoder_stochastic.clap
s3g_ambi_fire_encoder.clap	org.s3g.s3g-dsp.ambi-fire-encoder-64	s3g_ambi_encoder_pyrosphere.clap
s3g_ambi_modal_encoder.clap	org.s3g.s3g-dsp.accelerometer-field-encoder-16	s3g_ambi_encoder_modal_16.clap
s3g_ambi_node_track_mixer.clap	org.s3g.s3g-dsp.ambi-node-track-mixer	s3g_ambi_mixer_node_bus_128.clap
s3g_ambi_terrain_encoder.clap	org.s3g.s3g-dsp.ambi-terrain-encoder-64	s3g_ambi_encoder_surface_terrain.clap
s3g_diffusion_mesh.clap	org.s3g.s3g-dsp.diffusion-mesh	retired
s3g_loop_field.clap	org.s3g.s3g-dsp.loop-field-8ch	s3g_processor_loop_8ch.clap
s3g_low_frequency_synth.clap	org.s3g.s3g-dsp.low-frequency-synth	s3g_processor_lf_synth.clap
s3g_modal_encoder.clap	org.s3g.s3g-dsp.accelerometer-field-encoder-16	s3g_ambi_encoder_modal_16.clap
s3g_modal_terrain.clap	org.s3g.s3g-dsp.modal-terrain-8ch	retired
s3g_node_track_mixer.clap	org.s3g.s3g-dsp.node-track-mixer	s3g_mixer_node_bus_128.clap
s3g_psd_raw_field.clap	org.s3g.s3g-dsp.psd-raw-field	s3g_processor_fault_8ch.clap
s3g_resonant_terrain.clap	org.s3g.s3g-dsp.resonant-terrain-8ch	retired
s3g_sample_player.clap	org.s3g.s3g-dsp.sample-player	s3g_sample_player_2.clap
s3g_sample_slicer.clap	org.s3g.s3g-dsp.breakbeat-slicer	s3g_sample_slicer_16.clap
s3g_slicer.clap	org.s3g.s3g-dsp.breakbeat-slicer	s3g_sample_slicer_16.clap
s3g_string_terrain.clap	org.s3g.s3g-dsp.string-terrain-8ch	retired
s3g_utility_delay.clap	org.s3g.s3g-dsp.utility-delay-8ch	s3g_macro_delay_8ch.clap
s3g_wave_terrain_synth.clap	org.s3g.s3g-dsp.wave-terrain-synth-64	s3g_ambi_encoder_wave_terrain.clap
